fecha,anio,mes_numero,dia_semana,es_fin_de_semana,canal,categoria,unidades_vendidas,ventas_netas,margen_total,media_movil_7d_unidades,media_movil_30d_unidades,prediccion_naive_proximo_dia,tendencia_ventas
2024-01-08,2024,1,1,False,Miravia,Electronica,3,354.33,113.02,3.571428,3.571428,3.571428,Tendencia estable
2024-01-09,2024,1,2,False,Miravia,Electronica,4,380.22,121.13,3.571428,3.5,3.571428,Tendencia estable
2024-01-10,2024,1,3,False,Miravia,Electronica,4,378.78,119.87,3.714285,3.555555,3.714285,Tendencia estable
2024-01-11,2024,1,4,False,Miravia,Electronica,4,379.65,120.63,3.857142,3.6,3.857142,Tendencia estable
2024-01-12,2024,1,5,False,Miravia,Electronica,2,193.44,79.38,3.857142,3.636363,3.857142,Tendencia estable
2024-01-13,2024,1,6,True,Miravia,Electronica,2,190.57,76.86,3.571428,3.5,3.571428,Tendencia estable
2024-01-14,2024,1,7,True,Miravia,Electronica,2,191.14,77.36,3.285714,3.384615,3.285714,Tendencia estable
2024-01-15,2024,1,1,False,Miravia,Electronica,2,228.3,114.33,3.0,3.285714,3.0,Tendencia estable
2024-01-16,2024,1,2,False,Miravia,Electronica,2,231.18,116.87,2.857142,3.2,2.857142,Tendencia decreciente
2024-01-17,2024,1,3,False,Miravia,Electronica,6,347.41,166.21,2.571428,3.125,2.571428,Tendencia decreciente
2024-01-18,2024,1,4,False,Miravia,Electronica,6,343.96,163.17,2.857142,3.294117,2.857142,Tendencia decreciente
2024-01-19,2024,1,5,False,Miravia,Electronica,6,349.14,167.73,3.142857,3.444444,3.142857,Tendencia estable
2024-01-20,2024,1,6,True,Miravia,Electronica,6,349.71,168.23,3.714285,3.578947,3.714285,Tendencia estable
2024-01-21,2024,1,7,True,Miravia,Electronica,5,323.82,160.12,4.285714,3.7,4.285714,Tendencia creciente
2024-01-22,2024,1,1,False,Miravia,Electronica,5,323.82,160.12,4.714285,3.761904,4.714285,Tendencia creciente
2024-01-23,2024,1,2,False,Miravia,Electronica,5,323.82,160.12,5.142857,3.818181,5.142857,Tendencia creciente
2024-01-24,2024,1,3,False,Miravia,Electronica,5,323.82,160.12,5.571428,3.869565,5.571428,Tendencia creciente
2024-01-25,2024,1,4,False,Miravia,Electronica,5,323.82,160.12,5.428571,3.916666,5.428571,Tendencia creciente
2024-01-26,2024,1,5,False,Miravia,Electronica,5,323.82,160.12,5.285714,3.96,5.285714,Tendencia creciente
2024-01-27,2024,1,6,True,Miravia,Electronica,4,115.08,48.33,5.142857,4.0,5.142857,Tendencia creciente
2024-01-28,2024,1,7,True,Miravia,Electronica,4,115.08,48.33,4.857142,4.0,4.857142,Tendencia creciente
2024-01-30,2024,1,2,False,Miravia,Electronica,1,82.27,32.3,4.714285,4.0,4.714285,Tendencia creciente
2024-01-31,2024,1,3,False,Miravia,Electronica,1,82.27,32.3,4.142857,3.896551,4.142857,Tendencia estable
2024-02-01,2024,2,4,False,Miravia,Electronica,1,82.27,32.3,3.571428,3.8,3.571428,Tendencia estable
2024-02-02,2024,2,5,False,Miravia,Electronica,3,138.07,51.62,3.0,3.733333,3.0,Tendencia decreciente
2024-01-01,2024,1,1,False,Amazon,Electronica,2,107.78,18.35,,,,Sin historico
2024-01-02,2024,1,2,False,Amazon,Electronica,2,108.37,18.84,2.0,2.0,2.0,Tendencia estable
2024-01-03,2024,1,3,False,Amazon,Electronica,2,104.25,15.4,2.0,2.0,2.0,Tendencia estable
2024-01-04,2024,1,4,False,Amazon,Electronica,2,107.19,17.85,2.0,2.0,2.0,Tendencia estable
2024-01-08,2024,1,1,False,Amazon,Electronica,1,57.23,13.68,2.0,2.0,2.0,Tendencia estable
2024-01-09,2024,1,2,False,Amazon,Electronica,1,57.23,13.68,1.8,1.8,1.8,Tendencia estable
2024-01-10,2024,1,3,False,Amazon,Electronica,1,57.23,13.68,1.666666,1.666666,1.666666,Tendencia estable
2024-01-11,2024,1,4,False,Amazon,Electronica,1,57.23,13.68,1.571428,1.571428,1.571428,Tendencia estable
2024-01-12,2024,1,5,False,Amazon,Electronica,1,57.23,13.68,1.428571,1.5,1.428571,Tendencia estable
2024-01-13,2024,1,6,True,Amazon,Electronica,1,57.23,13.68,1.285714,1.444444,1.285714,Tendencia decreciente
2024-01-14,2024,1,7,True,Amazon,Electronica,1,57.23,13.68,1.142857,1.4,1.142857,Tendencia decreciente
2024-01-15,2024,1,1,False,Amazon,Electronica,1,57.23,13.68,1.0,1.363636,1.0,Tendencia decreciente
2024-01-16,2024,1,2,False,Amazon,Electronica,1,57.23,13.68,1.0,1.333333,1.0,Tendencia decreciente
2024-01-17,2024,1,3,False,Amazon,Electronica,1,57.23,13.68,1.0,1.307692,1.0,Tendencia decreciente
2024-01-18,2024,1,4,False,Amazon,Electronica,1,57.23,13.68,1.0,1.285714,1.0,Tendencia decreciente
2024-01-19,2024,1,5,False,Amazon,Electronica,1,57.23,13.68,1.0,1.266666,1.0,Tendencia decreciente
2024-01-20,2024,1,6,True,Amazon,Electronica,2,136.08,57.67,1.0,1.25,1.0,Tendencia decreciente
2024-01-21,2024,1,7,True,Amazon,Electronica,2,139.18,60.25,1.142857,1.294117,1.142857,Tendencia decreciente
2024-01-22,2024,1,1,False,Amazon,Electronica,2,123.71,47.33,1.285714,1.333333,1.285714,Tendencia estable
2024-01-23,2024,1,2,False,Amazon,Electronica,2,126.8,49.92,1.428571,1.368421,1.428571,Tendencia estable
2024-01-24,2024,1,3,False,Amazon,Electronica,4,281.98,109.16,1.571428,1.4,1.571428,Tendencia creciente
2024-01-25,2024,1,4,False,Amazon,Electronica,8,392.04,145.78,2.0,1.523809,2.0,Tendencia creciente
2024-01-26,2024,1,5,False,Amazon,Electronica,8,398.22,150.94,3.0,1.818181,3.0,Tendencia creciente
2024-01-27,2024,1,6,True,Amazon,Electronica,8,379.67,135.45,4.0,2.086956,4.0,Tendencia creciente
2024-01-28,2024,1,7,True,Amazon,Electronica,10,585.86,191.98,4.857142,2.333333,4.857142,Tendencia creciente
2024-01-29,2024,1,1,False,Amazon,Electronica,11,664.22,209.48,6.0,2.64,6.0,Tendencia creciente
2024-01-30,2024,1,2,False,Amazon,Electronica,11,658.36,204.59,7.285714,2.961538,7.285714,Tendencia creciente
2024-01-31,2024,1,3,False,Amazon,Electronica,11,649.83,197.47,8.571428,3.259259,8.571428,Tendencia creciente
2024-02-01,2024,2,4,False,Amazon,Electronica,9,523.15,147.65,9.571428,3.535714,9.571428,Tendencia creciente
2024-02-02,2024,2,5,False,Amazon,Electronica,9,526.92,150.8,9.714285,3.724137,9.714285,Tendencia creciente
2024-02-03,2024,2,6,True,Amazon,Electronica,9,515.63,141.37,9.857142,3.9,9.857142,Tendencia creciente
2024-02-04,2024,2,7,True,Amazon,Electronica,9,532.56,155.51,10.0,4.133333,10.0,Tendencia creciente
2024-01-01,2024,1,1,False,Amazon,Deporte,2,89.05,9.65,,,,Sin historico
2024-01-02,2024,1,2,False,Amazon,Deporte,2,92.77,12.75,2.0,2.0,2.0,Tendencia estable
2024-01-03,2024,1,3,False,Amazon,Deporte,1,65.2,7.62,2.0,2.0,2.0,Tendencia estable
2024-01-04,2024,1,4,False,Amazon,Deporte,1,81.97,21.62,1.666666,1.666666,1.666666,Tendencia estable
2024-01-05,2024,1,5,False,Amazon,Deporte,1,83.83,23.17,1.5,1.5,1.5,Tendencia estable
2024-01-06,2024,1,6,True,Amazon,Deporte,1,79.18,19.29,1.4,1.4,1.4,Tendencia estable
2024-01-07,2024,1,7,True,Amazon,Deporte,1,81.97,21.62,1.333333,1.333333,1.333333,Tendencia estable
2024-01-08,2024,1,1,False,Amazon,Deporte,1,83.83,23.17,1.285714,1.285714,1.285714,Tendencia estable
2024-01-09,2024,1,2,False,Amazon,Deporte,1,74.52,15.4,1.142857,1.25,1.142857,Tendencia estable
2024-01-10,2024,1,3,False,Amazon,Deporte,1,76.38,16.95,1.0,1.222222,1.0,Tendencia decreciente
2024-01-30,2024,1,2,False,Amazon,Deporte,3,284.8,90.78,1.0,1.2,1.0,Tendencia decreciente
2024-01-31,2024,1,3,False,Amazon,Deporte,3,284.8,90.78,1.285714,1.363636,1.285714,Tendencia estable
2024-02-01,2024,2,4,False,Amazon,Deporte,3,284.8,90.78,1.571428,1.5,1.571428,Tendencia estable
2024-02-02,2024,2,5,False,Amazon,Deporte,3,284.8,90.78,1.857142,1.615384,1.857142,Tendencia creciente
2024-02-03,2024,2,6,True,Amazon,Deporte,3,284.8,90.78,2.142857,1.714285,2.142857,Tendencia creciente
2024-02-04,2024,2,7,True,Amazon,Deporte,3,284.8,90.78,2.428571,1.8,2.428571,Tendencia creciente
2024-02-05,2024,2,1,False,Amazon,Deporte,3,284.8,90.78,2.714285,1.875,2.714285,Tendencia creciente
2024-02-06,2024,2,2,False,Amazon,Deporte,3,284.8,90.78,3.0,1.941176,3.0,Tendencia creciente
2024-02-07,2024,2,3,False,Amazon,Deporte,3,284.8,90.78,3.0,2.0,3.0,Tendencia creciente
2024-02-08,2024,2,4,False,Amazon,Deporte,3,284.8,90.78,3.0,2.052631,3.0,Tendencia creciente
2024-02-09,2024,2,5,False,Amazon,Deporte,3,284.8,90.78,3.0,2.1,3.0,Tendencia creciente
2024-02-14,2024,2,3,False,Amazon,Deporte,1,88.72,24.5,3.0,2.142857,3.0,Tendencia creciente
2024-02-15,2024,2,4,False,Amazon,Deporte,1,88.72,24.5,2.714285,2.090909,2.714285,Tendencia creciente
2024-02-16,2024,2,5,False,Amazon,Deporte,2,106.51,21.47,2.428571,2.043478,2.428571,Tendencia creciente
2024-02-17,2024,2,6,True,Amazon,Deporte,2,106.51,21.47,2.285714,2.041666,2.285714,Tendencia creciente
2024-02-18,2024,2,7,True,Amazon,Deporte,2,106.51,21.47,2.142857,2.04,2.142857,Tendencia estable
2024-02-19,2024,2,1,False,Amazon,Deporte,2,106.51,21.47,2.0,2.038461,2.0,Tendencia estable
2024-02-20,2024,2,2,False,Amazon,Deporte,2,106.51,21.47,1.857142,2.037037,1.857142,Tendencia estable
2024-02-21,2024,2,3,False,Amazon,Deporte,2,106.51,21.47,1.714285,2.035714,1.714285,Tendencia decreciente
2024-02-22,2024,2,4,False,Amazon,Deporte,2,106.51,21.47,1.857142,2.034482,1.857142,Tendencia estable
2024-02-23,2024,2,5,False,Amazon,Deporte,2,106.51,21.47,2.0,2.033333,2.0,Tendencia estable
2024-02-24,2024,2,6,True,Amazon,Deporte,2,106.51,21.47,2.0,2.033333,2.0,Tendencia estable
2024-02-25,2024,2,7,True,Amazon,Deporte,3,184.38,39.67,2.0,2.033333,2.0,Tendencia estable
2024-01-01,2024,1,1,False,Amazon,Moda Mujer,3,73.26,19.26,,,,Sin historico
2024-01-02,2024,1,2,False,Amazon,Moda Mujer,3,73.26,19.26,3.0,3.0,3.0,Tendencia estable
2024-01-03,2024,1,3,False,Amazon,Moda Mujer,5,144.1,38.43,3.0,3.0,3.0,Tendencia estable
2024-01-04,2024,1,4,False,Amazon,Moda Mujer,6,179.27,45.93,3.666666,3.666666,3.666666,Tendencia estable
2024-01-05,2024,1,5,False,Amazon,Moda Mujer,6,180.51,46.97,4.25,4.25,4.25,Tendencia estable
2024-01-06,2024,1,6,True,Amazon,Moda Mujer,6,181.34,47.66,4.6,4.6,4.6,Tendencia estable
2024-01-07,2024,1,7,True,Amazon,Moda Mujer,7,188.98,39.54,4.833333,4.833333,4.833333,Tendencia estable
2024-01-08,2024,1,1,False,Amazon,Moda Mujer,7,187.79,38.56,5.142857,5.142857,5.142857,Tendencia estable
2024-01-09,2024,1,2,False,Amazon,Moda Mujer,9,419.08,115.67,5.714285,5.375,5.714285,Tendencia estable
2024-01-10,2024,1,3,False,Amazon,Moda Mujer,9,389.31,90.81,6.571428,5.777777,6.571428,Tendencia creciente
2024-01-11,2024,1,4,False,Amazon,Moda Mujer,9,718.13,255.1,7.142857,6.1,7.142857,Tendencia creciente
2024-01-12,2024,1,5,False,Amazon,Moda Mujer,9,721.5,257.91,7.571428,6.363636,7.571428,Tendencia creciente
2024-01-13,2024,1,6,True,Amazon,Moda Mujer,9,714.86,252.37,8.0,6.583333,8.0,Tendencia creciente
2024-01-14,2024,1,7,True,Amazon,Moda Mujer,14,1036.83,364.6,8.428571,6.76923,8.428571,Tendencia creciente
2024-01-15,2024,1,1,False,Amazon,Moda Mujer,12,970.09,348.84,9.428571,7.285714,9.428571,Tendencia creciente
2024-01-16,2024,1,2,False,Amazon,Moda Mujer,11,906.47,317.59,10.142857,7.6,10.142857,Tendencia creciente
2024-01-17,2024,1,3,False,Amazon,Moda Mujer,11,910.79,321.2,10.428571,7.8125,10.428571,Tendencia creciente
2024-01-18,2024,1,4,False,Amazon,Moda Mujer,10,859.06,292.49,10.714285,8.0,10.714285,Tendencia creciente
2024-01-19,2024,1,5,False,Amazon,Moda Mujer,10,887.8,316.49,10.857142,8.111111,10.857142,Tendencia creciente
2024-01-20,2024,1,6,True,Amazon,Moda Mujer,8,663.66,245.35,11.0,8.210526,11.0,Tendencia creciente
2024-01-21,2024,1,7,True,Amazon,Moda Mujer,9,681.65,241.86,10.857142,8.2,10.857142,Tendencia creciente
2024-01-22,2024,1,1,False,Amazon,Moda Mujer,6,331.22,101.44,10.142857,8.238095,10.142857,Tendencia creciente
2024-01-23,2024,1,2,False,Amazon,Moda Mujer,6,331.22,101.44,9.285714,8.136363,9.285714,Tendencia creciente
2024-01-24,2024,1,3,False,Amazon,Moda Mujer,6,331.22,101.44,8.571428,8.043478,8.571428,Tendencia estable
2024-01-25,2024,1,4,False,Amazon,Moda Mujer,5,191.35,38.23,7.857142,7.958333,7.857142,Tendencia estable
2024-01-26,2024,1,5,False,Amazon,Moda Mujer,1,17.99,-3.49,7.142857,7.84,7.142857,Tendencia estable
2024-01-27,2024,1,6,True,Amazon,Moda Mujer,2,92.87,7.37,5.857142,7.576923,5.857142,Tendencia decreciente
2024-01-28,2024,1,7,True,Amazon,Moda Mujer,3,193.43,48.87,5.0,7.37037,5.0,Tendencia decreciente
2024-01-29,2024,1,1,False,Amazon,Moda Mujer,3,193.43,48.87,4.142857,7.214285,4.142857,Tendencia decreciente
2024-01-30,2024,1,2,False,Amazon,Moda Mujer,3,193.43,48.87,3.714285,7.068965,3.714285,Tendencia decreciente
2024-01-31,2024,1,3,False,Amazon,Moda Mujer,5,276.44,72.8,3.285714,6.933333,3.285714,Tendencia decreciente
2024-02-01,2024,2,4,False,Amazon,Moda Mujer,4,262.7,79.84,3.142857,7.0,3.142857,Tendencia decreciente
2024-02-05,2024,2,1,False,Amazon,Accesorios,2,147.7,51.77,1.285714,2.733333,1.285714,Tendencia decreciente
2024-02-06,2024,2,2,False,Amazon,Accesorios,4,224.66,79.88,1.428571,2.6,1.428571,Tendencia decreciente
2024-02-07,2024,2,3,False,Amazon,Accesorios,4,224.66,79.88,1.857142,2.5,1.857142,Tendencia decreciente
2024-02-08,2024,2,4,False,Amazon,Accesorios,4,224.66,79.88,2.285714,2.4,2.285714,Tendencia estable
2024-02-09,2024,2,5,False,Amazon,Accesorios,4,224.66,79.88,2.714285,2.333333,2.714285,Tendencia creciente
2024-02-10,2024,2,6,True,Amazon,Accesorios,6,399.1,157.27,3.142857,2.333333,3.142857,Tendencia creciente
2024-02-11,2024,2,7,True,Amazon,Accesorios,6,339.97,132.6,3.714285,2.4,3.714285,Tendencia creciente
2024-02-12,2024,2,1,False,Amazon,Accesorios,9,565.96,202.69,4.285714,2.466666,4.285714,Tendencia creciente
2024-02-13,2024,2,2,False,Amazon,Accesorios,10,662.47,228.26,5.285714,2.633333,5.285714,Tendencia creciente
2024-02-14,2024,2,3,False,Amazon,Accesorios,10,641.87,211.06,6.142857,2.8,6.142857,Tendencia creciente
2024-02-15,2024,2,4,False,Amazon,Accesorios,10,650.47,192.37,7.0,3.0,7.0,Tendencia creciente
2024-02-16,2024,2,5,False,Amazon,Accesorios,10,621.62,168.28,7.857142,3.266666,7.857142,Tendencia creciente
2024-02-17,2024,2,6,True,Amazon,Accesorios,10,642.23,185.48,8.714285,3.533333,8.714285,Tendencia creciente
2024-02-18,2024,2,7,True,Amazon,Accesorios,8,573.51,164.26,9.285714,3.833333,9.285714,Tendencia creciente
2024-02-19,2024,2,1,False,Amazon,Accesorios,8,548.78,143.61,9.571428,4.033333,9.571428,Tendencia creciente
2024-02-20,2024,2,2,False,Amazon,Accesorios,9,627.77,176.37,9.428571,4.233333,9.428571,Tendencia creciente
2024-02-21,2024,2,3,False,Amazon,Accesorios,9,482.59,106.7,9.285714,4.466666,9.285714,Tendencia creciente
2024-02-22,2024,2,4,False,Amazon,Accesorios,9,472.29,98.09,9.142857,4.7,9.142857,Tendencia creciente
2024-02-23,2024,2,5,False,Amazon,Accesorios,6,286.91,46.88,9.0,4.933333,9.0,Tendencia creciente
2024-02-24,2024,2,6,True,Amazon,Accesorios,4,149.83,14.55,8.428571,5.066666,8.428571,Tendencia creciente
2024-02-25,2024,2,7,True,Amazon,Accesorios,4,149.83,14.55,7.571428,5.133333,7.571428,Tendencia creciente
2024-02-26,2024,2,1,False,Amazon,Accesorios,4,101.13,9.68,7.0,5.233333,7.0,Tendencia creciente
2024-02-27,2024,2,2,False,Amazon,Accesorios,6,282.81,53.7,6.428571,5.333333,6.428571,Tendencia creciente
2024-02-28,2024,2,3,False,Amazon,Accesorios,6,282.81,53.7,6.0,5.5,6.0,Tendencia estable
2024-02-29,2024,2,4,False,Amazon,Accesorios,7,351.27,72.22,5.571428,5.666666,5.571428,Tendencia estable
2024-03-01,2024,3,5,False,Amazon,Accesorios,7,351.27,72.22,5.285714,5.866666,5.285714,Tendencia estable
2024-03-02,2024,3,6,True,Amazon,Accesorios,7,351.27,72.22,5.428571,6.066666,5.428571,Tendencia decreciente
2024-03-03,2024,3,7,True,Amazon,Accesorios,6,309.37,70.42,5.857142,6.266666,5.857142,Tendencia estable
2024-03-04,2024,3,1,False,Amazon,Accesorios,4,284.23,66.15,6.142857,6.433333,6.142857,Tendencia estable
2024-03-05,2024,3,2,False,Amazon,Accesorios,4,284.23,66.15,6.142857,6.5,6.142857,Tendencia estable
2024-03-06,2024,3,3,False,Amazon,Accesorios,4,284.23,66.15,5.857142,6.566666,5.857142,Tendencia decreciente
2024-03-07,2024,3,4,False,Amazon,Accesorios,5,351.92,63.5,5.571428,6.633333,5.571428,Tendencia decreciente
2024-01-01,2024,1,1,False,Amazon,Hogar,2,178.08,42.34,,,,Sin historico
2024-01-02,2024,1,2,False,Amazon,Hogar,2,178.08,42.34,2.0,2.0,2.0,Tendencia estable
2024-01-03,2024,1,3,False,Amazon,Hogar,6,239.44,53.1,2.0,2.0,2.0,Tendencia estable
2024-01-04,2024,1,4,False,Amazon,Hogar,6,239.44,53.1,3.333333,3.333333,3.333333,Tendencia estable
2024-01-05,2024,1,5,False,Amazon,Hogar,7,360.89,98.1,4.0,4.0,4.0,Tendencia estable
2024-01-06,2024,1,6,True,Amazon,Hogar,7,360.89,98.1,4.6,4.6,4.6,Tendencia estable
2024-01-07,2024,1,7,True,Amazon,Hogar,9,434.13,113.77,5.0,5.0,5.0,Tendencia estable
2024-01-08,2024,1,1,False,Amazon,Hogar,9,434.13,113.77,5.571428,5.571428,5.571428,Tendencia estable
2024-01-09,2024,1,2,False,Amazon,Hogar,10,495.04,116.95,6.571428,6.0,6.571428,Tendencia estable
2024-01-10,2024,1,3,False,Amazon,Hogar,9,395.59,87.09,7.714285,6.444444,7.714285,Tendencia creciente
2024-01-11,2024,1,4,False,Amazon,Hogar,9,395.59,87.09,8.142857,6.7,8.142857,Tendencia creciente
2024-01-12,2024,1,5,False,Amazon,Hogar,13,494.46,118.46,8.571428,6.90909,8.571428,Tendencia creciente
2024-01-13,2024,1,6,True,Amazon,Hogar,13,494.46,118.46,9.428571,7.416666,9.428571,Tendencia creciente
2024-01-14,2024,1,7,True,Amazon,Hogar,13,494.46,118.46,10.285714,7.846153,10.285714,Tendencia creciente
2024-01-15,2024,1,1,False,Amazon,Hogar,11,487.42,124.42,10.857142,8.214285,10.857142,Tendencia creciente
2024-01-16,2024,1,2,False,Amazon,Hogar,11,459.18,111.35,11.142857,8.4,11.142857,Tendencia creciente
2024-01-17,2024,1,3,False,Amazon,Hogar,11,459.18,111.35,11.285714,8.5625,11.285714,Tendencia creciente
2024-01-18,2024,1,4,False,Amazon,Hogar,12,491.26,108.88,11.571428,8.705882,11.571428,Tendencia creciente
2024-01-19,2024,1,5,False,Amazon,Hogar,10,418.75,93.82,12.0,8.888888,12.0,Tendencia creciente
2024-01-20,2024,1,6,True,Amazon,Hogar,11,491.06,103.78,11.571428,8.947368,11.571428,Tendencia creciente
2024-01-21,2024,1,7,True,Amazon,Hogar,12,543.62,129.25,11.285714,9.05,11.285714,Tendencia creciente
2024-01-22,2024,1,1,False,Amazon,Hogar,12,544.35,129.86,11.142857,9.190476,11.142857,Tendencia creciente
2024-01-23,2024,1,2,False,Amazon,Hogar,10,497.79,123.18,11.285714,9.318181,11.285714,Tendencia creciente
2024-01-24,2024,1,3,False,Amazon,Hogar,7,363.94,83.57,11.142857,9.347826,11.142857,Tendencia creciente
2024-01-25,2024,1,4,False,Amazon,Hogar,7,358.83,79.31,10.571428,9.25,10.571428,Tendencia creciente
2024-01-26,2024,1,5,False,Amazon,Hogar,5,308.16,65.63,9.857142,9.16,9.857142,Tendencia estable
2024-01-27,2024,1,6,True,Amazon,Hogar,5,309.62,66.85,9.142857,9.0,9.142857,Tendencia estable
2024-01-28,2024,1,7,True,Amazon,Hogar,4,212.03,31.27,8.285714,8.851851,8.285714,Tendencia estable
2024-01-29,2024,1,1,False,Amazon,Hogar,3,186.51,39.22,7.142857,8.678571,7.142857,Tendencia decreciente
2024-01-30,2024,1,2,False,Amazon,Hogar,3,186.51,39.22,5.857142,8.482758,5.857142,Tendencia decreciente
2024-01-31,2024,1,3,False,Amazon,Hogar,2,112.38,27.74,4.857142,8.3,4.857142,Tendencia decreciente
2024-02-01,2024,2,4,False,Amazon,Hogar,1,21.83,0.96,4.142857,8.3,4.142857,Tendencia decreciente
2024-02-06,2024,2,2,False,Amazon,Hogar,4,252.28,74.1,3.285714,8.266666,3.285714,Tendencia decreciente
2024-02-05,2024,2,1,False,Amazon,Electronica,7,357.62,79.77,9.857142,4.366666,9.857142,Tendencia creciente
2024-02-06,2024,2,2,False,Amazon,Electronica,3,258.32,52.14,9.285714,4.533333,9.285714,Tendencia creciente
2024-02-07,2024,2,3,False,Amazon,Electronica,5,462.0,132.56,8.142857,4.566666,8.142857,Tendencia creciente
2024-02-08,2024,2,4,False,Amazon,Electronica,4,332.72,107.08,7.285714,4.7,7.285714,Tendencia creciente
2024-02-09,2024,2,5,False,Amazon,Electronica,4,324.11,99.89,6.571428,4.8,6.571428,Tendencia creciente
2024-02-10,2024,2,6,True,Amazon,Electronica,3,246.48,82.98,5.857142,4.9,5.857142,Tendencia creciente
